timp(ms),P(KW),,,
7539,0.2262658,01/07/2024,11:29:51,AM
7554,0.2262658,01/07/2024,11:29:51,AM
7565,0.2262658,01/07/2024,11:29:51,AM
7575,0.2262658,01/07/2024,11:29:51,AM
7587,0.2262658,01/07/2024,11:29:51,AM
7597,0.2262658,01/07/2024,11:29:51,AM
7609,0.2262658,01/07/2024,11:29:51,AM
7620,0.2262658,01/07/2024,11:29:51,AM
7634,0.2262658,01/07/2024,11:29:51,AM
7645,0.2262658,01/07/2024,11:29:51,AM
7656,0.2262658,01/07/2024,11:29:51,AM
7666,0.2262658,01/07/2024,11:29:51,AM
7677,0.2262658,01/07/2024,11:29:51,AM
7688,0.2262658,01/07/2024,11:29:52,AM
7700,0.2262658,01/07/2024,11:29:52,AM
7714,0.2262658,01/07/2024,11:29:52,AM
7724,0.2262658,01/07/2024,11:29:52,AM
7736,0.2262658,01/07/2024,11:29:52,AM
7747,0.2262658,01/07/2024,11:29:52,AM
7758,0.2262658,01/07/2024,11:29:52,AM
7768,0.2262658,01/07/2024,11:29:52,AM
7779,0.2262658,01/07/2024,11:29:52,AM
7794,0.2262658,01/07/2024,11:29:52,AM
7804,0.2262658,01/07/2024,11:29:52,AM
7815,0.2262658,01/07/2024,11:29:52,AM
7826,0.2262658,01/07/2024,11:29:52,AM
7838,0.2262658,01/07/2024,11:29:52,AM
7848,0.2262658,01/07/2024,11:29:52,AM
7859,0.2262658,01/07/2024,11:29:52,AM
7874,0.2262658,01/07/2024,11:29:52,AM
7884,0.2262658,01/07/2024,11:29:52,AM
7896,0.2262658,01/07/2024,11:29:52,AM
7906,0.2262658,01/07/2024,11:29:52,AM
7920,0.2262658,01/07/2024,11:29:52,AM
7929,0.2262658,01/07/2024,11:29:52,AM
7940,0.2262658,01/07/2024,11:29:52,AM
7954,0.2262658,01/07/2024,11:29:52,AM
7964,0.2262658,01/07/2024,11:29:52,AM
7975,0.2262658,01/07/2024,11:29:52,AM
7987,0.2262658,01/07/2024,11:29:52,AM
7998,0.2262658,01/07/2024,11:29:52,AM
8009,0.2262658,01/07/2024,11:29:52,AM
8020,0.2262658,01/07/2024,11:29:52,AM
8034,0.2262658,01/07/2024,11:29:52,AM
8044,0.2262658,01/07/2024,11:29:52,AM
8056,0.2262658,01/07/2024,11:29:52,AM
8066,0.2262658,01/07/2024,11:29:52,AM
8078,0.2262658,01/07/2024,11:29:52,AM
8089,0.2262658,01/07/2024,11:29:52,AM
8100,0.2262658,01/07/2024,11:29:52,AM
8114,0.2262658,01/07/2024,11:29:52,AM
8124,0.2262658,01/07/2024,11:29:52,AM
8135,0.2262658,01/07/2024,11:29:52,AM
8146,0.2262658,01/07/2024,11:29:52,AM
8202,0.2262658,01/07/2024,11:29:52,AM
8215,0.2262658,01/07/2024,11:29:52,AM
8225,0.2262658,01/07/2024,11:29:52,AM
8238,0.2273349,01/07/2024,11:29:52,AM
8248,0.2273349,01/07/2024,11:29:52,AM
8259,0.2273349,01/07/2024,11:29:52,AM
8274,0.2273349,01/07/2024,11:29:52,AM
8284,0.2273349,01/07/2024,11:29:52,AM
